_original_section,_code_type,StatuteLiteral,_level,EnactDate,RepealAmendDate,_section_only,_subparts,_subdivision,_paragraph,_subparagraph,_clause,_charge_reconstructed
166(A)(10),PC,CONTEMPT:VIOL GANG INJUNC,M,2012-01-01,,166,(A)(10),(A),(10),,,166(A)(10)
166(A)(2),PC,CONTEMPT:PRESENCE OF JURY,M,1994-01-01,,166,(A)(2),(A),(2),,,166(A)(2)
166(A)(3),PC,CONTEMPT:BREACH OF PEACE,M,1994-01-01,,166,(A)(3),(A),(3),,,166(A)(3)
166(A)(4),PC,CONTEMPT:DISOBEY CRT ORDR,M,1994-01-01,,166,(A)(4),(A),(4),,,166(A)(4)
166(A)(5),PC,CONTEMPT:RESIST ORDER/ETC,M,1994-01-01,,166,(A)(5),(A),(5),,,166(A)(5)
166(A)(6),PC,CONTEMPT:REFUSE TO SWEAR,M,1994-01-01,2011-12-31,166,(A)(6),(A),(6),,,166(A)(6)
166(A)(6),PC,CONTEMPT:JUROR DISOBEY,M,2012-01-01,2020-11-08,166,(A)(6),(A),(6),,,166(A)(6)
166(A)(6),PC,COC: REFUSE TO SWEAR,M,2020-11-09,,166,(A)(6),(A),(6),,,166(A)(6)
166(A)(7),PC,CONTEMPT:PUB FLS/ETC RPT,M,1994-01-01,2011-12-31,166,(A)(7),(A),(7),,,166(A)(7)
166(A)(7),PC,CONTEMPT:REFUSE TO SWEAR,M,2012-01-01,2020-11-08,166,(A)(7),(A),(7),,,166(A)(7)
166(A)(7),PC,COC: PUB FLS/ETC CRT RPT,M,2020-11-09,,166,(A)(7),(A),(7),,,166(A)(7)
166(A)(8),PC,CONTEMPT:INFLUENCE SENT,M,1994-01-01,2011-12-31,166,(A)(8),(A),(8),,,166(A)(8)
166(A)(8),PC,CONTEMPT:PUB FLS/ETC RPT,M,2012-01-01,2020-11-08,166,(A)(8),(A),(8),,,166(A)(8)
166(A)(8),PC,COC: TRY INFLU SENTENCE,M,2020-11-09,,166,(A)(8),(A),(8),,,166(A)(8)
166(A)(9),PC,CONTEMPT:INFLUENCE SENT,M,2012-01-01,2020-11-08,166,(A)(9),(A),(9),,,166(A)(9)
166(A)(9),PC,COC: VIOLATE GANG INJUNC,M,2020-11-09,,166,(A)(9),(A),(9),,,166(A)(9)
166(B)(1),PC,CNTEMPT OF COURT:PR 646.9,M,1800-01-01,,166,(B)(1),(B),(1),,,166(B)(1)
166(C)(1),PC,CONTEMPT:VIOL PROTECT ORD,M,1994-01-01,,166,(C)(1),(C),(1),,,166(C)(1)
166(C)(4),PC,VIO PROT ORD:DOMSTIC W/PR,F,1994-01-01,,166,(C)(4),(C),(4),,,166(C)(4)
166(C)(4),PC,VIO PROT ORDER:DOMES:W/PR,M,1994-01-01,,166,(C)(4),(C),(4),,,166(C)(4)
166(D)(1),PC,VIO PROT ORD:W/FIREARM,M,1994-01-01,,166,(D)(1),(D),(1),,,166(D)(1)
166(D)(1),PC,VIO PROT ORD:W/FIREARM,F,1994-01-01,,166,(D)(1),(D),(1),,,166(D)(1)
167,PC,RECORD JURY DELIBERATION,M,1957-09-11,,167,,,,,,167
168(A),PC,DISCL WARR INFO PR EXECUT,F,1987-01-01,,168,(A),(A),,,,168(A)
169,PC,PICKT COURTHSE IMPDE JUST,M,1970-09-18,,169,,,,,,169
170,PC,OBTAIN WARRANT W/O CAUSE,M,1872-01-01,,170,,,,,,170
171,PC,COMMUN W/REFORM INMATE,M,1872-01-01,,171,,,,,,171
171.5(B),PC,POSS WPN/ETC IN AIRPORT,M,2020-11-16,,171.5,(B),(B),,,,171.5(B)
171.5(C)(1),PC,POS IN AIRPORT:FIREARM,M,2003-01-01,2020-11-13,171.5,(C)(1),(C),(1),,,171.5(C)(1)
171.5(C)(10),PC,POS IN AIRPORT:STUN GUN,M,2003-01-01,,171.5,(C)(10),(C),(10),,,171.5(C)(10)
171.5(C)(11),PC,POS AIRPORT:PROJECTLE WPN,M,2003-01-01,,171.5,(C)(11),(C),(11),,,171.5(C)(11)
171.5(C)(12),PC,POS IN AIRPORT:AMMUNITION,M,2003-01-01,,171.5,(C)(12),(C),(12),,,171.5(C)(12)
171.5(C)(2),PC,POSSESS IN AIRPORT:KNIFE,M,2003-01-01,,171.5,(C)(2),(C),(2),,,171.5(C)(2)
171.5(C)(3),PC,POS IN AIRPORT:BOX CUTTER,M,2003-01-01,,171.5,(C)(3),(C),(3),,,171.5(C)(3)
171.5(C)(4),PC,POS IN AIRPRT:HND GRENADE,M,2003-01-01,,171.5,(C)(4),(C),(4),,,171.5(C)(4)
171.5(C)(5),PC,POS AIRPRT:RPLCA GRENADE,M,2003-01-01,,171.5,(C)(5),(C),(5),,,171.5(C)(5)
171.5(C)(6),PC,POS AIRPRT:PLSTIC GRENADE,M,2003-01-01,,171.5,(C)(6),(C),(6),,,171.5(C)(6)
171.5(C)(7),PC,POS AIRPRT:REPLICA F/ARM,M,2003-01-01,,171.5,(C)(7),(C),(7),,,171.5(C)(7)
171.5(C)(8),PC,POS AIRPRT:FRAME OF F/ARM,M,2003-01-01,,171.5,(C)(8),(C),(8),,,171.5(C)(8)
171.5(C)(9),PC,POS AIRPRT:TEAR GAS WPN,M,2003-01-01,,171.5,(C)(9),(C),(9),,,171.5(C)(9)
171.7(B),PC,POSS WPN STERIL TRNST FAC,M,2011-01-01,,171.7,(B),(B),,,,171.7(B)
171B(A)(1),PC,POS/ETC F/ARM:PUB BLD/ETC,F,1994-01-01,,171B,(A)(1),(A),(1),,,171B(A)(1)
171B(A)(1),PC,POSS/ETC F/ARM: PUB BLDG,M,1983-01-01,,171B,(A)(1),(A),(1),,,171B(A)(1)
171B(A)(2),PC,POS/ETC D/WPN:PUB BLD/ETC,F,1994-01-01,,171B,(A)(2),(A),(2),,,171B(A)(2)
171B(A)(2),PC,POSS DEADLY WPN:PUB BLDG,M,2012-01-01,,171B,(A)(2),(A),(2),,,171B(A)(2)
171B(A)(3),PC,POS/ETC KNIFE:PUB BLD/ETC,F,1994-01-01,,171B,(A)(3),(A),(3),,,171B(A)(3)
171B(A)(3),PC,POSS/ETC KNIFE: PUB BLDG,M,1983-01-01,,171B,(A)(3),(A),(3),,,171B(A)(3)
171B(A)(4),PC,POSS/ETC TEARGAS:PUB BLDG,F,1996-01-01,,171B,(A)(4),(A),(4),,,171B(A)(4)
171B(A)(4),PC,POSS/ETC TEARGAS:PUB BLDG,M,1996-01-01,,171B,(A)(4),(A),(4),,,171B(A)(4)
171B(A)(5),PC,POS/ETC TASER/STUNGUN:BLD,F,1996-01-01,,171B,(A)(5),(A),(5),,,171B(A)(5)
171B(A)(5),PC,POS/ETC TAZER/STUNGUN:BLD,M,1996-01-01,,171B,(A)(5),(A),(5),,,171B(A)(5)
171B(A)(6),PC,POSS/ETC BB/PELLET:PUBBLD,F,1996-01-01,,171B,(A)(6),(A),(6),,,171B(A)(6)
171B(A)(6),PC,POSS/ETC BB/PELLET:PUBBLD,M,1996-01-01,,171B,(A)(6),(A),(6),,,171B(A)(6)
171C,PC,LOAD F/ARM:STATE CAP/ETC,F,1967-07-28,,171C,,,,,,171C
171C(A)(1),PC,LOADED FIREARM ST CAPITOL,F,2011-01-01,,171C,(A)(1),(A),(1),,,171C(A)(1)
171C(A)(1),PC,LOADED FIREARM ST CAPITOL,M,2011-01-01,,171C,(A)(1),(A),(1),,,171C(A)(1)
171C(A)(2),PC,POSS WEAPON ST CAPITOL,M,2011-01-01,,171C,(A)(2),(A),(2),,,171C(A)(2)
171D(A),PC,LOADED GUN:ST OFCR RESDNC,F,1967-07-28,,171D,(A),(A),,,,171D(A)
171D(A),PC,LOADED GUN:ST OFCR RESDNC,M,1967-07-28,,171D,(A),(A),,,,171D(A)
171D(B),PC,LOADED GUN:ST OFCR RES GR,F,1967-07-28,,171D,(B),(B),,,,171D(B)
171D(B),PC,LOADED GUN:ST OFCR RES GR,M,1967-07-28,,171D,(B),(B),,,,171D(B)
171D.2,PC,LOADED GUN ST OFF RES GRD,F,1967-07-28,2006-12-30,171D.2,,,,,,171D.2
171F.1,PC,REMAIN IN LEGIS CHAMBER,M,1969-11-10,,171F.1,,,,,,171F.1
171F.2,PC,DISRUPT STATE CAPITOL BUS,M,1969-11-10,,171F.2,,,,,,171F.2
172(A),PC,SELL LIQUOR NEAR PRISON,M,1872-01-01,,172,(A),(A),,,,172(A)
172A,PC,SELL LIQ NEAR UNIVERSITY,M,1909-01-01,,172A,,,,,,172A
172B(1),PC,SELL LIQUOR NEAR UCLA,M,2020-11-12,,172B,(1),(1),,,,172B(1)
172B.1,PC,SELL LIQUOR NEAR UCLA,M,1951-09-22,2020-11-11,172B.1,,,,,,172B.1
172D(1),PC,SELL LIQUOR NEAR RIVERSID,M,2020-11-13,,172D,(1),(1),,,,172D(1)
172D.1,PC,SELL LIQ NEAR UC RIVERSDE,M,1953-09-09,2020-11-12,172D.1,,,,,,172D.1
172G(A),PC,SELL LIQ NR CRTN COLL/ETC,M,2020-11-13,,172G,(A),(A),,,,172G(A)
172G.1,PC,SELL LIQ NR CRTN COLL/UNV,M,1963-09-20,2020-11-12,172G.1,,,,,,172G.1
172L,PC,SELL LIQ NR CLAREMNT COLL,M,1969-11-10,,172L,,,,,,172L
173,PC,IMPORT FOREIGN CONVICTS,M,1872-01-01,,173,,,,,,173
181,PC,INFRINGE PERSONAL LIBERTY,F,1901-01-01,,181,,,,,,181
182(A)(1),PC,CONSPIRACY:COMMIT CRIME,F,1990-01-01,,182,(A)(1),(A),(1),,,182(A)(1)
182(A)(1),PC,CONSPIRACY:COMMIT CRIME,M,1990-01-01,,182,(A)(1),(A),(1),,,182(A)(1)
182(A)(2),PC,CONSP:FALSE/ETC INDICTMNT,F,1990-01-01,,182,(A)(2),(A),(2),,,182(A)(2)
182(A)(2),PC,CONSP: FALSE INDICTMENT,M,1990-01-01,,182,(A)(2),(A),(2),,,182(A)(2)
182(A)(3),PC,CNSP:FLS MNTN/ETC SUIT/ET,F,1990-01-01,2020-11-24,182,(A)(3),(A),(3),,,182(A)(3)
182(A)(3),PC,CONSP: FLS MAINTAIN SUIT,M,1990-01-01,,182,(A)(3),(A),(3),,,182(A)(3)
182(A)(3),PC,CONSP FLS MOVE SUIT/ETC,F,2020-11-25,,182,(A)(3),(A),(3),,,182(A)(3)
182(A)(4),PC,CONSPIRACY/DEFRAUD/PROP,M,1800-01-01,2020-11-02,182,(A)(4),(A),(4),,,182(A)(4)
182(A)(4),PC,CONSP: DEFRAUD OF PROP,M,2020-11-03,,182,(A)(4),(A),(4),,,182(A)(4)
182(A)(4),PC,CONSPIRE:DEFRAUD/ETC PRSN,F,1990-01-01,2020-11-04,182,(A)(4),(A),(4),,,182(A)(4)
182(A)(4),PC,CONSP: DEFRAUD OF PROP,F,2020-11-05,,182,(A)(4),(A),(4),,,182(A)(4)
182(A)(5),PC,CONSPRCY:OBST JUSTICE/ETC,F,1990-01-01,2020-11-04,182,(A)(5),(A),(5),,,182(A)(5)
182(A)(5),PC,CONSP: INJUROIUS TO PUB,M,1990-01-01,,182,(A)(5),(A),(5),,,182(A)(5)
182(A)(5),PC,CONSP: INJURIOUS TO PUBUS,F,2020-11-05,,182,(A)(5),(A),(5),,,182(A)(5)
182(A)(6),PC,CONSP:AGAINST EXEC OFICER,F,1990-01-01,,182,(A)(6),(A),(6),,,182(A)(6)
182.5,PC,CONSPIRE COMMIT FEL:GANG,F,2000-03-07,,182.5,,,,,,182.5
182.5,PC,CONSP COMMIT FEL GANG ACT,M,2000-03-07,,182.5,,,,,,182.5
185,PC,WEAR MASK UNLAWFL PURPOSE,M,1872-01-01,,185,,,,,,185
186.10(A),PC,MONEY LAUNDERING,F,1987-01-01,,186.10,(A),(A),,,,186.10(A)
186.10(A),PC,MONEY LAUNDERING,M,1987-01-01,,186.10,(A),(A),,,,186.10(A)
186.22(A),PC,PARTICIPATE:CRIM ST GANG,F,1993-01-01,,186.22,(A),(A),,,,186.22(A)
186.22(A),PC,PARTICIPATE:CRIME ST GANG,M,1993-01-01,,186.22,(A),(A),,,,186.22(A)
186.22(B)(1),PC,PROMOTE/ETC CRIM ST GANG,F,1993-01-01,,186.22,(B)(1),(B),(1),,,186.22(B)(1)
186.22(D),PC,CRIM ST GANG:PUB OFF CONV,M,1993-01-01,,186.22,(D),(D),,,,186.22(D)
186.22(D),PC,CRIM ST GANG:PUB OFF CONV,F,1993-01-01,,186.22,(D),(D),,,,186.22(D)
186.26(A),PC,VIOL:GET MIN:CRIM ST GANG,F,1994-01-01,,186.26,(A),(A),,,,186.26(A)
186.26(A),PC,VIOL SOLICIT CRM ST GANG,F,2000-03-07,,186.26,(A),(A),,,,186.26(A)
186.26(B),PC,SOLICIT BY THREAT ST GANG,F,2000-03-07,,186.26,(B),(B),,,,186.26(B)
186.26(C),PC,SLCIT PARTIC GANG BY VIOL,F,2020-11-05,,186.26,(C),(C),,,,186.26(C)
186.26(C),PC,MNR COERC/ETC MNR:ST GANG,M,1994-01-01,,186.26,(C),(C),,,,186.26(C)
186.26(C),PC,PHY VIO COERC/ETC ST GANG,F,2000-03-07,2020-11-04,186.26,(C),(C),,,,186.26(C)
186.28(A),PC,SELL/ETC F/ARM:GANG ACTIV,M,1993-01-01,,186.28,(A),(A),,,,186.28(A)
186.28(A),PC,SEL/ETC F/ARM:GANG ACTIVE,F,1993-01-01,,186.28,(A),(A),,,,186.28(A)
186.33(A),PC,VIOL REG REQ:CRIM ST GANG,M,2000-03-07,,186.33,(A),(A),,,,186.33(A)
187(A),PC,MURDER,F,1970-11-23,,187,(A),(A),,,,187(A)
187(A),PC,MURDER:FIRST DEGREE,F,1970-11-23,,187,(A),(A),,,,187(A)
187(A),PC,MURDER:SECOND DEGREE,F,1970-11-23,,187,(A),(A),,,,187(A)
187(A),PC,MURDER:SEC DEG ON PO,F,1988-06-07,,187,(A),(A),,,,187(A)
187(A),PC,MRDR:1ST DEG:SHOOT F/VEH,F,1994-06-07,,187,(A),(A),,,,187(A)
191.5(A),PC,GR VEH MANSL WHILE INTOX,F,1987-01-01,,191.5,(A),(A),,,,191.5(A)
191.5(B),PC,VEH MANSL WHILE INTOXICAT,F,2007-01-01,,191.5,(B),(B),,,,191.5(B)
191.5(B),PC,VEH MANSL WHILE INTOXICAT,M,2007-01-01,,191.5,(B),(B),,,,191.5(B)
192(A),PC,VOLUNTARY MANSLAUGHTER,F,1984-08-24,,192,(A),(A),,,,192(A)
192(B),PC,INVOLUNTARY MANSLAUGHTER,F,1984-08-24,,192,(B),(B),,,,192(B)
192(C)(1),PC,VEH MANSL W/GROSS NEG,F,1984-08-24,,192,(C)(1),(C),(1),,,192(C)(1)
192(C)(1),PC,VEH MANSL W/GROSS NEGLNCE,M,1984-08-24,,192,(C)(1),(C),(1),,,192(C)(1)
192(C)(2),PC,VEH MANSL W/O GROSS NEG,M,1984-08-24,,192,(C)(2),(C),(2),,,192(C)(2)
192(C)(3),PC,DUI VEH MANS W/O GR NEG,F,1987-01-01,,192,(C)(3),(C),(3),,,192(C)(3)
192(C)(3),PC,VEH MNSL:CAUSE ACC F/GAIN,F,2007-01-01,,192,(C)(3),(C),(3),,,192(C)(3)
192.5(A),PC,VEH MNSL W/VESSL W/GR NEG,F,1987-01-01,,192.5,(A),(A),,,,192.5(A)
192.5(B),PC,VEH MNSL W/VES W/O GR NEG,M,1987-01-01,,192.5,(B),(B),,,,192.5(B)
192.5(B),PC,VEH MNSL W/VES W/O GR NEG,F,1987-01-01,,192.5,(B),(B),,,,192.5(B)
192.5(C),PC,V/MNSL:VES:ALC/DRG:NO NEG,F,1988-01-01,,192.5,(C),(C),,,,192.5(C)
192.5(C),PC,V/MNSL:VESS WITH/GRS NEGL,F,2007-01-01,,192.5,(C),(C),,,,192.5(C)
192.5(C),PC,VEH MNSL:VES W/GROS NEGL,M,2007-01-01,,192.5,(C),(C),,,,192.5(C)
192.5(D),PC,VEH MNSL:VESS:W/O GRS NEG,M,1988-01-01,,192.5,(D),(D),,,,192.5(D)
203,PC,MAYHEM,F,1872-01-01,,203,,,,,,203
205,PC,AGGRAVATED MAYHEM,F,1988-01-01,,205,,,,,,205
206,PC,TORTURE,F,1991-01-01,,206,,,,,,206
207(A),PC,KIDNAPPING,F,1983-01-01,,207,(A),(A),,,,207(A)
207(B),PC,KIDNAP -14 TO COM L&L,F,1983-01-01,,207,(B),(B),,,,207(B)
207(C),PC,KIDNAP:FORC/ETC:TAKE O/ST,F,1983-01-01,2020-10-27,207,(C),(C),,,,207(C)
207(C),PC,KIDNAP: FRC/ETC OUT OF ST,F,2020-10-28,,207,(C),(C),,,,207(C)
207(D),PC,KIDNAP:FORC/ETC:INTO CA,F,1983-01-01,,207,(D),(D),,,,207(D)
208(B),PC,KIDNAP CHILD UNDER 14 YRS,F,1986-07-03,,208,(B),(B),,,,208(B)
209(A),PC,KIDNAPPING FOR RANSOM,F,1977-07-01,,209,(A),(A),,,,209(A)
209(B)(1),PC,KIDNAP TO COMMIT RAPE,F,2006-11-08,,209,(B)(1),(B),(1),,,209(B)(1)
209(B)(1),PC,KIDNAP TO COMMIT ROBBERY,F,2006-11-08,,209,(B)(1),(B),(1),,,209(B)(1)
209.5(A),PC,KIDNAP DURING CARJACKING,F,1993-10-01,,209.5,(A),(A),,,,209.5(A)
209.5(B),PC,KIDNAP/CARJACK:VICT MOVED,F,1993-10-01,,209.5,(B),(B),,,,209.5(B)
210,PC,POSE AS KIDNAPPER:EXTORT,F,1937-08-27,,210,,,,,,210
210.5,PC,USE PERSON AS SHIELD,F,1988-01-01,,210.5,,,,,,210.5
211,PC,ROBBERY,F,1872-01-01,,211,,,,,,211
211,PC,ROBBERY:FIRST DEGREE,F,1872-01-01,,211,,,,,,211
211,PC,ROBBERY:SECOND DEGREE,F,1872-01-01,,211,,,,,,211
211,PC,ROBBERY 1ST DEG HOME INV,F,1872-01-01,,211,,,,,,211
212,PC,FEAR AS ELEMENT ROBBERY,F,1800-01-01,,212,,,,,,212
212(A),LC,NONNEGOTABLE PAYMENT WAGE,M,1937-08-27,,212,(A),(A),,,,212(A)
212.5,PC,ROBBERY,F,1987-01-01,,212.5,,,,,,212.5
212.5(A),PC,ROB:1ST DEG:CAB/ETC/DWELL,F,1987-01-01,,212.5,(A),(A),,,,212.5(A)
212.5(B),PC,ROB:FIRST DEGREE:ATM/ETC,F,1995-01-01,,212.5,(B),(B),,,,212.5(B)
212.5(C),PC,ROBBERY:SECOND DEGREE,F,1995-01-01,,212.5,(C),(C),,,,212.5(C)
213,WI,CONTEMPT OF COURT:JUV/ETC,M,1977-01-01,,213,,,,,,213
213(A)(1)(A),PC,ROB 1:INHAB DWELL:CONCERT,F,1995-01-01,,213,(A)(1)(A),(A),(1),(A),,213(A)(1)(A)
213(A)(2),PC,ROBBERY:SECOND DEGREE,F,1987-01-01,,213,(A)(2),(A),(2),,,213(A)(2)
214,PC,TRAIN ROBBERY,F,1905-01-01,,214,,,,,,214
214,WI,FTA JUV COURT/ETC:PROMISE,M,1977-01-01,,214,,,,,,214
215(A),PC,CARJACKING,F,1993-10-01,,215,(A),(A),,,,215(A)
216(A),LC,REFUSE TO PAY WAGES DUE,M,1937-08-27,,216,(A),(A),,,,216(A)
217.1(A),PC,ASSAULT PUBLIC OFFICIAL,F,1984-01-01,,217.1,(A),(A),,,,217.1(A)
217.1(A),PC,ASSAULT PUBLIC OFFICIAL,M,1984-01-01,,217.1,(A),(A),,,,217.1(A)
217.1(B),PC,ATT MURDER PUB OFCL,F,1984-01-01,,217.1,(B),(B),,,,217.1(B)
218,PC,ATTEMPT TRAIN WRECKING,F,1905-01-01,,218,,,,,,218
218.1,PC,OBST/DAMAGE/DERAIL TRAIN,F,2006-01-01,,218.1,,,,,,218.1
218.1,PC,OBSTR/DAMAGE/DERAIL TRAIN,M,2006-01-01,,218.1,,,,,,218.1
219,PC,TRAIN WRECKING,F,1905-01-01,2020-10-27,219,,,,,,219
219,PC,TRAIN WRECKING RSLT DEATH,F,2020-10-28,,219,,,,,,219
219.1,PC,THROW OBJ:COM CARRIER VEH,F,1941-09-13,2020-10-27,219.1,,,,,,219.1
219.1,PC,THROW OBJ COMMN VEH B/HRM,F,2020-10-28,,219.1,,,,,,219.1
219.2,PC,THROW OBJECT AT TRAIN,F,1955-09-07,,219.2,,,,,,219.2
219.2,PC,THROW/ETC OBJECT AT TRAIN,M,1955-09-07,,219.2,,,,,,219.2
219.3,PC,THROW OBJ FROM TOLL BRIDG,M,1957-09-11,,219.3,,,,,,219.3
220,PC,ASSAULT:COMMIT RAPE,F,1872-01-01,,220,,,,,,220
220,PC,ASSAULT TO COMMIT SODOMY,F,1872-01-01,,220,,,,,,220
220,PC,ASLT:MAYHEM/RAPE/ETC,F,1980-01-01,,220,,,,,,220
220,PC,ASLT:PENETRATE W/OBJECT,F,1980-01-01,,220,,,,,,220
220,PC,ASSLT TO COMMIT ORAL COP,F,1980-01-01,,220,,,,,,220
220,PC,ASLT:COMIT LEWD/LASC:CHLD,F,1980-01-01,,220,,,,,,220
220,PC,ASLT:RAPE:CONCERT W/OTHER,F,1980-01-01,,220,,,,,,220
220,PC,ASLT W/INT COMT RAPE/ETC,F,1980-01-01,,220,,,,,,220
220,PC,ASSAULT TO COMMIT MAYHEM,F,1872-01-01,,220,,,,,,220
220(A)(1),PC,ASSAULT:W/INTENT TO RAPE,F,2011-01-01,2020-10-27,220,(A)(1),(A),(1),,,220(A)(1)
220(A)(1),PC,ASSAULT W/INT TO RAPE/ETC,F,2020-10-28,,220,(A)(1),(A),(1),,,220(A)(1)
220(A)(2),PC,ASSAULT:-18 W/INT TO RAPE,F,2010-09-09,2020-11-24,220,(A)(2),(A),(2),,,220(A)(2)
220(A)(2),PC,ASSLT W/INT TO RAPE -18,F,2020-11-25,,220,(A)(2),(A),(2),,,220(A)(2)
220(B),PC,ASLT:INTENT RAPE IN 459,F,2006-11-07,,220,(B),(B),,,,220(B)
222,PC,GIVE DRUGS AID IN FELONY,F,1872-01-01,,222,,,,,,222
225.5(A),SH,VEND:HWY VISTA POINT/ETC,M,1987-01-01,,225.5,(A),(A),,,,225.5(A)
226(A),LC,FAIL FURNISH WAGE STATMNT,M,1943-05-01,,226,(A),(A),,,,226(A)
236,PC,FALSE IMPRISONMENT,M,1872-01-01,,236,,,,,,236
236,PC,FALSE IMPRISONMENT,F,1901-01-01,,236,,,,,,236
236,PC,FALSE IMPRISON W/VIOLENCE,F,1901-01-01,,236,,,,,,236
236.1(A),PC,HUMAN TRAFFICKING/LABOR,F,2006-01-01,,236.1,(A),(A),,,,236.1(A)
236.1(B),PC,HMN TRAFF:DEPR PER LBRTY,F,2012-11-07,2020-11-08,236.1,(B),(B),,,,236.1(B)
236.1(B),PC,HMN TRFK TO CMT OTHR CRIM,F,2020-11-09,,236.1,(B),(B),,,,236.1(B)
236.1(C),PC,HUMAN TRAFFICKING/-18YRS,F,2006-01-01,2020-11-08,236.1,(C),(C),,,,236.1(C)
236.1(C),PC,HMN TRFK MNR COMM SEX ACT,F,2020-11-09,,236.1,(C),(C),,,,236.1(C)
237(A),PC,FALSE IMPRISON:VIOL/ETC,F,1999-01-01,,237,(A),(A),,,,237(A)
237(A),PC,FALSE IMPRISONMENT,M,1999-01-01,,237,(A),(A),,,,237(A)
237(B),PC,IMPRISON:ELD/ETC:VIO/ETC,F,1999-10-10,,237,(B),(B),,,,237(B)
238.1,LC,FAIL OBEY STOP ORDER VIOL,M,2016-01-01,,238.1,,,,,,238.1
240,PC,ASSAULT ON PERSON,M,1872-01-01,,240,,,,,,240
240,PC,ASLT PO/EMERG PRSNL/ETC,M,1982-01-01,,240,,,,,,240
241(A),PC,ASSAULT ON PERSON,M,1982-01-01,,241,(A),(A),,,,241(A)
241(B),PC,ASLT PO/EMERG PRSNL/ETC,M,1982-01-01,2020-10-27,241,(B),(B),,,,241(B)
241(B),PC,ASSLT PARKING CONTRL OFCR,M,2020-10-28,,241,(B),(B),,,,241(B)
241(C),PC,ASLT PO/FIREFIGHTER/ETC,M,1982-01-01,,241,(C),(C),,,,241(C)
241.1,PC,ASLT ON CUSTODIAL OFFICER,F,1981-01-01,,241.1,,,,,,241.1
241.1,PC,ASLT ON CUSTODIAL OFFICER,M,1981-01-01,,241.1,,,,,,241.1
241.2(A),PC,ASLT PRSN SCH/PARK PROP,M,1990-01-01,,241.2,(A),(A),,,,241.2(A)
241.2(A)(1),PC,ASSLT PERSON SCHOOL PROP,M,1983-01-01,,241.2,(A)(1),(A),(1),,,241.2(A)(1)
241.3(A),PC,ASLT PRSN:PUB TRANSP/ETC,M,1997-01-01,,241.3,(A),(A),,,,241.3(A)
241.4,PC,ASLT SCHOOL DISTRICT PO,F,1977-01-01,,241.4,,,,,,241.4
241.4,PC,ASLT SCHOOL DISTRICT PO,M,1977-01-01,,241.4,,,,,,241.4
241.5(A),PC,ASLT ON HIGHWAY WORKER,M,2009-01-01,,241.5,(A),(A),,,,241.5(A)
241.6,PC,ASLT ON SCHOOL EMPLOYEE,M,1990-01-01,,241.6,,,,,,241.6
241.7,PC,ASSAULT ON JURORS,F,1987-01-01,,241.7,,,,,,241.7
242,PC,BATTERY,M,1872-01-01,,242,,,,,,242
242,PC,BATTERY ON PERSON,M,1872-01-01,,242,,,,,,242
242,PC,BATT W/SERIOUS BODILY INJ,F,1872-01-01,,242,,,,,,242
242,PC,BAT:SPOUSE/EX SP/DATE/ETC,M,1997-01-01,,242,,,,,,242
242,PC,BATTERY,F,1872-01-01,,242,,,,,,242
242,PC,BAT W/SERIOUS BODILY INJ,M,1872-01-01,,242,,,,,,242
242,PC,BAT EMERGENCY PERSON/ETC,F,1998-01-01,,242,,,,,,242
242,PC,BAT AGAINST PEACE OFFICER,F,1998-01-01,,242,,,,,,242
243(A),PC,BATTERY ON PERSON,M,1982-01-01,,243,(A),(A),,,,243(A)
243(B),PC,BATT PO/EMERG PRSNL/ETC,M,1982-01-01,,243,(B),(B),,,,243(B)
243(C),PC,BATTERY PO/ETC W/INJURY,F,1998-01-01,,243,(C),(C),,,,243(C)
243(C)(1),PC,BAT EMERGENCY PERSON/ETC,F,1998-01-01,2020-10-27,243,(C)(1),(C),(1),,,243(C)(1)
243(C)(1),PC,BATT EMERGENCY PERSON/ETC,M,1998-01-01,2020-10-27,243,(C)(1),(C),(1),,,243(C)(1)
243(C)(1),PC,BATTERY PO/ETC W/INJURY,F,2020-10-28,,243,(C)(1),(C),(1),,,243(C)(1)
243(C)(1),PC,BATTERY PO/ETC W/INJURY,M,2020-10-28,,243,(C)(1),(C),(1),,,243(C)(1)
243(C)(2),PC,BATTERY AGAINST PO,F,1998-01-01,,243,(C)(2),(C),(2),,,243(C)(2)
243(C)(2),PC,BATTERY AGAINST PO,M,1998-01-01,,243,(C)(2),(C),(2),,,243(C)(2)
243(D),PC,BATT W/SERIOUS BODILY INJ,F,1982-01-01,,243,(D),(D),,,,243(D)
243(D),PC,BATERY:SERIOUS BODILY INJ,M,1872-01-01,,243,(D),(D),,,,243(D)
243(E),PC,BATTERY:SPOUSE/ETC,M,1999-01-01,,243,(E),(E),,,,243(E)
243(E)(1),PC,BAT:SPOUSE/EX SP/DATE/ETC,M,1997-01-01,,243,(E)(1),(E),(1),,,243(E)(1)
243.1,PC,BATT ON CUSTODIAL OFFICER,F,1977-07-01,,243.1,,,,,,243.1
243.10(A),PC,BATT AGNST MBR US FORCES,M,2004-01-01,,243.10,(A),(A),,,,243.10(A)
243.15,PC,BATTERY NONINMATE BY INMT,F,2016-01-01,,243.15,,,,,,243.15
243.15,PC,BATTERY NOINMATE BY INMT,M,2016-01-01,,243.15,,,,,,243.15
243.2(A),PC,BAT ON PRSN:SCH/PARK/ETC,M,1990-01-01,,243.2,(A),(A),,,,243.2(A)
